tester_name, generator_serial, result, time_elapsed_over_test, test_name, notes
Noah,fdsasfd,passed,84278,Base Atrial Rate,
Noah,fdsasfd,failed,7065,Base Ventricular Rate,
Noah,fdsasfd,passed,2343,Atrial Pulse Voltage,
Noah,fdsasfd,passed,2140,Ventricular Pulse Voltage,
Noah,fdsasfd,failed,2072,Atrial Pulse Width,
Noah,fdsasfd,passed,1689,Ventricular Pulse Width,
Noah,fdsasfd,passed,2741,Atrial Sensitivity,
Noah,fdsasfd,passed,2301,Ventricular Sensitivity,
Noah,fdsasfd,passed,1798,AV/PV Delay,
Noah,fdsasfd,passed,3654,Ventricular Refractory Period,
Noah,fdsasfd,passed,1715,PVARP,
Noah,fdsasfd,passed,1788,Max Sensor Rate,
Noah,fdsasfd,failed,2619,Max Tracking Rate,




TOTAL TEST TIME MS: 58871
